Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Kebangkitan Bangsa,2,"107,879",0,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Keadilan Sejahtera ,3,"148,011",1,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"345,307",2,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Golongan Karya ,5,"377,588",2,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Gerakan Indonesia Raya ,6,"319,846",1,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Demokrat,7,"164,422",1,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Amanat Nasional ,8,"115,933",1,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Persatuan Pembangunan ,9,"249,578",1,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Hati Nurani Rakyat ,10,"109,489",,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Bulan Bintang ,14,"34,918",,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"7,311",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,"2,964,216","1,799,370",174048,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Nasional Demokrat,1,"50,203",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Kebangkitan Bangsa,2,"78,897",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Keadilan Sejahtera ,3,"233,738",1,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"433,127",2,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Golongan Karya ,5,"209,513",1,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Gerakan Indonesia Raya ,6,"283,126",1,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Demokrat,7,"121,262",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Amanat Nasional ,8,"126,457",1,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Persatuan Pembangunan ,9,"112,758",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Hati Nurani Rakyat ,10,"113,633",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Bulan Bintang ,14,"24,932",,,,,,,,,,,,,,,,
2014,Jawa Barat,6,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"11,724",,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,"4,335,139","2,762,436",403974,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Nasional Demokrat,1,"125,620",,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Kebangkitan Bangsa,2,"162,383",1,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Keadilan Sejahtera ,3,"234,477",1,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"608,658",2,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Golongan Karya ,5,"539,911",2,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Gerakan Indonesia Raya ,6,"373,811",1,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Demokrat,7,"206,295",1,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Amanat Nasional ,8,"154,557",1,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Persatuan Pembangunan ,9,"160,208",1,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Hati Nurani Rakyat ,10,"135,598",,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Bulan Bintang ,14,"48,441",,,,,,,,,,,,,,,,
2014,Jawa Barat,7,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"12,477",,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,"3,400,125","1,953,002",265565,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Nasional Demokrat,1,"109,818",,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Kebangkitan Bangsa,2,"241,657",1,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Keadilan Sejahtera ,3,"131,850",1,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"413,101",2,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Golongan Karya ,5,"445,760",2,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Gerakan Indonesia Raya ,6,"214,523",1,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Demokrat,7,"120,914",1,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Amanat Nasional ,8,"53,113",,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Persatuan Pembangunan ,9,"65,018",1,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Hati Nurani Rakyat ,10,"128,972",,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Bulan Bintang ,14,"21,356",,,,,,,,,,,,,,,,
2014,Jawa Barat,8,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"6,920",,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,"2,935,416","2,019,474",258243,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Nasional Demokrat,1,"114,300",0,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Kebangkitan Bangsa,2,"162,079",1,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Keadilan Sejahtera ,3,"156,451",1,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"521,530",2,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Golongan Karya ,5,"334,967",1,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Gerakan Indonesia Raya ,6,"175,017",1,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Demokrat,7,"202,920",1,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Amanat Nasional ,8,"90,683",,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Persatuan Pembangunan ,9,"132,952",1,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Hati Nurani Rakyat ,10,"90,137",,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Bulan Bintang ,14,"23,533",,,,,,,,,,,,,,,,
2014,Jawa Barat,9,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"14,905",,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,"2,222,654","1,495,569",130342,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Nasional Demokrat,1,"78,251",,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Kebangkitan Bangsa,2,"104,694",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Keadilan Sejahtera ,3,"168,738",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"313,984",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Golongan Karya ,5,"214,519",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Gerakan Indonesia Raya ,6,"89,400",,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Demokrat,7,"137,215",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Amanat Nasional ,8,"184,161",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Persatuan Pembangunan ,9,"129,544",1,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Hati Nurani Rakyat ,10,"49,996",,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Bulan Bintang ,14,"17,721",,,,,,,,,,,,,,,,
2014,Jawa Barat,10,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"7,346",,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,"3,582,434","2,444,255",256982,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Nasional Demokrat,1,"105,687",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Kebangkitan Bangsa,2,"337,170",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Keadilan Sejahtera ,3,"187,093",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"303,513",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Golongan Karya ,5,"369,901",2,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Gerakan Indonesia Raya ,6,"175,688",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Demokrat,7,"230,886",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Amanat Nasional ,8,"223,104",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Persatuan Pembangunan ,9,"342,330",,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Hati Nurani Rakyat ,10,"100,406",1,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Bulan Bintang ,14,"53,338",,,,,,,,,,,,,,,,
2014,Jawa Barat,11,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"15,139",,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,"2,731,714","1,859,104",291065,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Nasional Demokrat,1,"152,217",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Kebangkitan Bangsa,2,"195,225",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Keadilan Sejahtera ,3,"128,963",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"516,122",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Golongan Karya ,5,"169,515",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"206,577",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Demokrat,7,"157,245",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Amanat Nasional ,8,"136,583",,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Persatuan Pembangunan ,9,"118,254",,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"63,885",,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Bulan Bintang ,14,"7,712",,,,,,,,,,,,,,,,
2014,Jawa Tengah,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"6,806",,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,"2,255,036","1,579,820",226517,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Nasional Demokrat,1,"99,612",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Kebangkitan Bangsa,2,"230,157",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Keadilan Sejahtera ,3,"73,075",,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"175,036",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Golongan Karya ,5,"448,420",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Gerakan Indonesia Raya ,6,"177,111",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Demokrat,7,"55,631",,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Amanat Nasional ,8,"81,132",,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Persatuan Pembangunan ,9,"164,286",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Hati Nurani Rakyat ,10,"62,914",,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Bulan Bintang ,14,"9,307",,,,,,,,,,,,,,,,
2014,Jawa Tengah,2,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"3,139",,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,"3,287,462","2,071,932",411196,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Nasional Demokrat,1,"130,060",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Kebangkitan Bangsa,2,"280,384",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Keadilan Sejahtera ,3,"123,354",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"392,472",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Golongan Karya ,5,"301,851",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Gerakan Indonesia Raya ,6,"285,557",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Demokrat,7,"202,818",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Amanat Nasional ,8,"92,244",,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Persatuan Pembangunan ,9,"139,679",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Hati Nurani Rakyat ,10,"92,740",,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Bulan Bintang ,14,"13,961",,,,,,,,,,,,,,,,
2014,Jawa Tengah,3,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"16,812",,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,"2,352,945","1,528,134",173782,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Nasional Demokrat,1,"47,186",,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Kebangkitan Bangsa,2,"103,911",,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Keadilan Sejahtera ,3,"160,546",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"417,714",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Golongan Karya ,5,"235,865",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Gerakan Indonesia Raya ,6,"168,597",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Demokrat,7,"110,433",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Amanat Nasional ,8,"123,963",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Persatuan Pembangunan ,9,"55,950",,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Hati Nurani Rakyat ,10,"92,114",,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Bulan Bintang ,14,"6,932",,,,,,,,,,,,,,,,
2014,Jawa Tengah,4,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"4,923",,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,"2,869,277","2,010,828",216082,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Nasional Demokrat,1,"120,090",,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Kebangkitan Bangsa,2,"137,727",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Keadilan Sejahtera ,3,"120,918",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"861,673",3,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Golongan Karya ,5,"269,446",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Gerakan Indonesia Raya ,6,"152,378",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Demokrat,7,"81,667",,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Amanat Nasional ,8,"145,363",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Persatuan Pembangunan ,9,"52,877",,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Hati Nurani Rakyat ,10,"55,214",,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Bulan Bintang ,14,"9,070",,,,,,,,,,,,,,,,
2014,Jawa Tengah,5,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"4,405",,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,"2,900,986","2,014,315",266752,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Nasional Demokrat,1,"146,264",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Kebangkitan Bangsa,2,"358,790",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Keadilan Sejahtera ,3,"91,774",,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"454,259",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Golongan Karya ,5,"203,508",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Gerakan Indonesia Raya ,6,"207,410",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Demokrat,7,"131,447",,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Amanat Nasional ,8,"162,515",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Persatuan Pembangunan ,9,"137,499",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Hati Nurani Rakyat ,10,"101,462",,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Bulan Bintang ,14,"11,385",,,,,,,,,,,,,,,,
2014,Jawa Tengah,6,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"8,002",,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,"2,509,224","1,575,575",203345,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Nasional Demokrat,1,"143,183",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Kebangkitan Bangsa,2,"164,535",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Keadilan Sejahtera ,3,"102,966",,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"300,978",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Golongan Karya ,5,"144,563",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Gerakan Indonesia Raya ,6,"297,057",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Demokrat,7,"97,465",,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Amanat Nasional ,8,"110,604",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Persatuan Pembangunan ,9,"130,237",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Hati Nurani Rakyat ,10,"62,151",,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Bulan Bintang ,14,"18,055",,,,,,,,,,,,,,,,
2014,Jawa Tengah,7,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"3,781",,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,"2,781,889","1,774,130",131459,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Nasional Demokrat,1,"47,985",,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Kebangkitan Bangsa,2,"216,461",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Keadilan Sejahtera ,3,"81,773",,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"487,813",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Golongan Karya ,5,"296,890",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Gerakan Indonesia Raya ,6,"229,642",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Demokrat,7,"118,282",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Amanat Nasional ,8,"134,829",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Persatuan Pembangunan ,9,"97,771",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Hati Nurani Rakyat ,10,"49,274",,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Bulan Bintang ,14,"9,018",,,,,,,,,,,,,,,,
2014,Jawa Tengah,8,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"4,392",,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,"2,847,465","1,635,975",222326,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Nasional Demokrat,1,"62,146",,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Kebangkitan Bangsa,2,"282,131",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Keadilan Sejahtera ,3,"109,527",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"376,245",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Golongan Karya ,5,"234,622",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Gerakan Indonesia Raya ,6,"162,077",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Demokrat,7,"84,622",,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Amanat Nasional ,8,"103,357",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Persatuan Pembangunan ,9,"117,118",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Hati Nurani Rakyat ,10,"93,511",,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Bulan Bintang ,14,"6,489",,,,,,,,,,,,,,,,
2014,Jawa Tengah,9,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"4,130",,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,"2,590,062","1,553,646",298552,,,,,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Nasional Demokrat,1,"86,383",,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Kebangkitan Bangsa,2,"336,121",2,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Keadilan Sejahtera ,3,"83,612",,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"313,293",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Golongan Karya ,5,"192,602",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Gerakan Indonesia Raya ,6,"136,674",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Demokrat,7,"81,109",,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Amanat Nasional ,8,"117,612",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Persatuan Pembangunan ,9,"138,102",1,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Hati Nurani Rakyat ,10,"57,487",,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Bulan Bintang ,14,"7,203",,,,,,,,,,,,,,,,
2014,Jawa Tengah,10,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"3,448",,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,"3,377,714","2,016,903",254732,,,,,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Nasional Demokrat,1,"67,451",,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Kebangkitan Bangsa,2,"385,629",2,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Keadilan Sejahtera ,3,"102,720",1,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"497,347",3,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Golongan Karya ,5,"133,644",1,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"250,459",1,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Demokrat,7,"186,270",1,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Amanat Nasional ,8,"196,645",1,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Persatuan Pembangunan ,9,"87,293",,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"87,069",,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Bulan Bintang ,14,"15,573",,,,,,,,,,,,,,,,
2014,Jawa Timur,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"6,803",,,,,,,,,,,,,,,,
2014,Jawa Timur,2,DPR,"2,330,650","1,561,686",288308,,,,,,,,,,,,,,,,,,,
2014,Jawa Timur,2,DPR,,,,Partai Nasional Demokrat,1,"296,136",1,,,,,,,,,,,,,,,
2014,Jawa Timur,2,DPR,,,,Partai Kebangkitan Bangsa,2,"299,534",1,,,,,,,,,,,,,,,
