Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Kebangkitan Bangsa,2,"82,575",,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Keadilan Sejahtera ,3,"85,277",,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"174,580",1,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Golongan Karya ,5,"192,641",1,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"141,161",1,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Demokrat,7,"138,046",1,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Amanat Nasional ,8,"37,898",,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Persatuan Pembangunan ,9,"138,003",1,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"50,402",,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Bulan Bintang ,14,"24,598",,,,,,,,,,,,,,,,
2014,Banten,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"4,920",,,,,,,,,,,,,,,,
2014,Banten,2,DPR,"1,819,272","1,084,829",312950,,,,,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Nasional Demokrat,1,"73,425",,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Kebangkitan Bangsa,2,"73,477",,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Keadilan Sejahtera ,3,"91,247",1,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"117,960",1,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Golongan Karya ,5,"148,768",1,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Gerakan Indonesia Raya ,6,"169,466",1,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Demokrat,7,"76,324",,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Amanat Nasional ,8,"130,641",1,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Persatuan Pembangunan ,9,"105,439",1,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Hati Nurani Rakyat ,10,"58,676",,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Bulan Bintang ,14,"25,381",,,,,,,,,,,,,,,,
2014,Banten,2,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"14,025",,,,,,,,,,,,,,,,
2014,Banten,3,DPR,"4,243,709","2,583,914",414779,,,,,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Nasional Demokrat,1,"140,425",,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Kebangkitan Bangsa,2,"194,094",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Keadilan Sejahtera ,3,"215,323",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"522,977",2,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Golongan Karya ,5,"309,083",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Gerakan Indonesia Raya ,6,"330,883",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Demokrat,7,"288,584",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Amanat Nasional ,8,"180,089",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Persatuan Pembangunan ,9,"167,518",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Hati Nurani Rakyat ,10,"165,214",1,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Bulan Bintang ,14,"39,231",,,,,,,,,,,,,,,,
2014,Banten,3,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"30,493",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,"1,358,511",923755,182620,,,,,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Nasional Demokrat,1,"130,759",1,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Kebangkitan Bangsa,2,"81,522",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Keadilan Sejahtera ,3,"75,826",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"119,296",1,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Golongan Karya ,5,"92,612",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"108,507",1,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Demokrat,7,"74,443",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Amanat Nasional ,8,"92,680",1,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Persatuan Pembangunan ,9,"61,856",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"49,668",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Bulan Bintang ,14,"17,663",,,,,,,,,,,,,,,,
2014,Bengkulu ,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"18,923",,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,"2,723,621","2,059,453",159160,,,,,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Nasional Demokrat,1,"107,433",0,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Kebangkitan Bangsa,2,"129,943",1,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Keadilan Sejahtera ,3,"147,875",1,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"570,531",2,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Golongan Karya ,5,"200,474",1,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"244,144",1,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Demokrat,7,"146,688",1,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Amanat Nasional ,8,"355,787",1,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Persatuan Pembangunan ,9,"94,435",,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"42,782",,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Bulan Bintang ,14,"14,162",,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"5,199",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,"1,914,790","1,298,430",88254,,,,,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Nasional Demokrat,1,"43,097",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Kebangkitan Bangsa,2,"75,423",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Keadilan Sejahtera ,3,"138,029",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"301,010",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Golongan Karya ,5,"116,472",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"158,604",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Demokrat,7,"115,382",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Amanat Nasional ,8,"86,236",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Persatuan Pembangunan ,9,"171,269",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"68,217",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Bulan Bintang ,14,"15,733",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"8,958",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,Tidak Ada DPT,"1,850,133",Tidak Ada,,,,,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Nasional Demokrat,1,"69,286",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Kebangkitan Bangsa,2,"108,440",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Keadilan Sejahtera ,3,"261,477",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"493,938",2,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Golongan Karya ,5,"174,908",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Gerakan Indonesia Raya ,6,"250,800",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Demokrat,7,"144,339",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Amanat Nasional ,8,"63,158",,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Persatuan Pembangunan ,9,"153,147",1,,,,,,,,,,,,,,,
2014,DKI Jakarta ,2,DPR,,,,Partai Hati Nurani Rakyat ,10,"101,191",,,,,,,,,,,,,,,,
