Year,Election,"Candidate names, President and Vice President",Candidate pair number,Election Round
2019,President & Vice President,Joko Widodo-Ma'ruf Amin,1,1
2019,President & Vice President,Prabowo Subianto-Sandiaga Uno,2,1
