Year,Election,"Candidate names, President and Vice President",Candidate pair number,Election Round
2014,President & Vice President,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,1
2014,President & Vice President,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,1
