Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,ACEH ,ACEH I,Demokrat,"H. T. IBRAHIM, S.T., M.M.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,Golkar,H. T. M. NURLIF,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,Demokrat,H. TEUKU RIEFKY HARSYA,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,Buruh,Habibi Inseun,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,PBB,"HAMZAH, S.Sos.I.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,Buruh,Hariyanto Latuheru,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH I,PPP,HARMANIAR,PEREMPUAN,5
2024,DPR,ACEH ,ACEH I,PBB,"Heri Ramunandar, S.H.",LAKI - LAKI,6
2024,DPR,ACEH ,ACEH I,PPP,"HILMAN ISMAIL METAREUM, S.E.",LAKI - LAKI,3
2024,DPR,ACEH ,ACEH I,Golkar,"Hj. SAMSIAR, S.E.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,PKN,Hj. SERI PERAINI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,PPP,"ILLIZA SA'ADUDDIN DJAMAL, S.E.",PEREMPUAN,2
2024,DPR,ACEH ,ACEH I,Hanura,INTAN KHAIRANI,PEREMPUAN,5
2024,DPR,ACEH ,ACEH I,Perindo,INTAN MONIKA,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Gerindra,Ir. H. MAULISMAN HANAFIAH,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,PAN,"Ir. Hj. FERRY SORAYA, M.S.I.E.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Gerindra,Ir. MUDDATSTSIR KAMIL,LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,PSI,Ismaidi,LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,PDIP,"JAMALUDDIN IDHAM, S.H., M.H.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,Gelora,KASUMIYATI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Demokrat,KHAIRULLAH,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,PKB,M. RAMADHANA RUSLI BINTANG,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,Buruh,"Mahadi Manik, S.Si., M.Si.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,PKB,"MAHDALENA, S.Hut.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Perindo,"Mayjen. TNI (Purn.) ABDUL HAFIL FUDDIN, S.H., S.I.P., M.H.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,Gelora,MOHARRIADI,LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,PAN,"MOHD. ALFATAH, S.Ag.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,PAN,"MUCHLIS ZULKIFLI, S.T., M.H.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,Gelora,NASRUDDIN AWL,LAKI - LAKI,4
