Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PSI,"RONALDO DWI SAPUTRO, S.M.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Hanura,ROZIKIN SUBASTIAN,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PDIP,SAMUEL JD WATTIMENA,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PKN,SANDI ANDRIYANTO,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PDIP,"SATRIO FAUZIA DAMARDJATI, S.P.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Nasdem,"SHANTI RUWYASTUTI, S.I.P.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Ummat,SHILA ILMUNDHITA,PEREMPUAN,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Buruh,SISKA MARIA,PEREMPUAN,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Garuda,SISWANI HASAN,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Buruh,SITI ALFIAH,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PKB,SITI SUCILAWATI SULTAN,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PKB,"SRI NUR AININGSIH, S.Sy., M.E.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Gerindra,SUGIONO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Buruh,"SUWARTO, S.Pd.I.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Perindo,"SYAFRIL NASUTION, S.E.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Buruh,SYAMSUL HIDAYAT,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Perindo,"SYLVIANA PRAVITA RATNA KUSUMANINGRUM, S.I.P., MBA.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Ummat,TITRIN LISTYOWATI,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Buruh,TOPIK HIDAYATULLOH,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PKN,TRIONO,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Ummat,"TRIPRASODJO SETYOTOMO, S.T.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PDIP,TUTI N. ROOSDIONO,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PKS,ULFIANA LAILI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PBB,"VERNANDE NIROHITO, S.E.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Gelora,"WAHYU HERMAWAN, S.E.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Perindo,WARREN H. TANOESOEDIBJO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PSI,WIWI RINA SAID,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,Hanura,YOHANA CRISTINAYULI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PBB,YUNAERY HASTATI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PKN,ZAHRA NABILA,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PBB,ZULFA HURYAH H.,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH I,PPP,"ZUMROATUS SA'ADAH, S.Sos.",PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,"A. BAHRUL AMIQ, M.M.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,ABDUL WACHID,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,"ALBERT SAHALA SIAHAAN, S.Hut., M.Th.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Hanura,ALI ABDUL ROHMAN,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,ALLAN SURYANANTA HENDRAWAN,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,AMANATUL HUSNA,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,ANDHIKA SATYA WASISTHO,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,APRIANSENO DANUYUDHA,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gelora,"Apt. DWI INTANI, S.Far.",PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,"apt. LIANA WULANSARI, S.Far.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,ARI WULAN DARI,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,ARIF TAUFIQ NURRACHMAN AZIEZ,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,ARIS SUTARSO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,Atang Daryantakahadi,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,B. SAYIDI,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,BIN SUBIYANTO,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,CAROLINA YULIADSAR ODILIA ADJID,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,DANIEL ADI WIBOWO,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,DHITA DHAIFINA NADHILA,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,DINO ARDIANSYAH,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,"Dr. dr. H. MASRIFAN DJAMIL, M.P.H., M.Kes.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,"Dr. FAHRUDDIN SALIM, S.E., M.M.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,"Dr. H. KRISTIAWANTO, S.H.I., M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,"Dr. H. MUSTHOFA, S.E., M.M.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,"Dr. H. SOLICHUL HUDA, M.Kom.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,"Drs. ACHMAT JURI, M.Hum.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,Drs. HARIANTO OGHIE,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gelora,"Drs. MOH. KHOERON SAID, M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Ummat,Drs. SUMAJI,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Ummat,"EDWIN SYARIF, S.Sn.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,EFRIDA S. PISDON,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,"ERICK V GUMULYA, S.T.",LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,ERNA FARIDA,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,"FATHAN, S.Ag., M.A.P.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,"GILANG DHIELAFARAREZ, S.H., LL.M.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,"H. HELMY TURMUDHI, S.E., M.M.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,H. ULWAN HAKIM,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,"H. YONEFIA SYAMSIR, S.T.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,"HARSO OHOIWER, S.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,Hartomo,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,HINDUN ANISAH,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,"Hj. ENDAH RAHMAWATI, S.E.",PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,I KADEK TAMAN SUPARSA,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,I WAYAN ARDITA,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,IHSANUL KHULQI,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,IKA CANDRA PRAMINARDANI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,IMAM ZAMRONI,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,Ir. DARYATMO MARDIYANTO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,Ir. PUGUH ACHMAD BUDI HANDOJO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,"IRVAN ARIFIANTO, S.H.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,ISTIA HUSNA DZAKIYYAH,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,"JADUG TRIMULYO AINUL AMRI, S.Sos.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,JAMALUDIN MALIK,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,JANBERSIUS EFENDI PISDON,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,Jeffrey Jeconiah,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,JIHAN ANTENG ANGGINI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,JOKO SUPENO,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,"K.H. IDHAM KHOLID, S.H., M.H.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,KARTINIA INDAH PRATIWI,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Ummat,"KINARTO, B.A., S.Ag., S.Pd., M.Pd.I.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,KURNIASARI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,LESTARI MOERDIJAT,PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Ummat,MASRUROH,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,MILAT FAJAR ARLITASARI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,MIRANTI HADIANI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKS,MUCHAMAD SETIAWAN,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Nasdem,MUGIYONO,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Hanura,MUH NURHADI,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,"MUHAMMAD ABDUL IDRIS, M.Ikom.",LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gelora,MUHAMMAD AFDLOL,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,MUHAMMAD FAHMI BUDIAWAN,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,MUHAMMAD IQBAL FAISHOL,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,"MUHAMMAD SANTOSO, S.Sos.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,MUKHLISIN,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gelora,"MUSYAFA AHMAD RAHIM, M.Ag.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,"NASRULLAH, M.Si.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,NISSA ARDEASARI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,NOVIA SEPTIANI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,"NURUL MUTTAQIN, S.H.I., M.H.",LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,"NUSRON WAHID, S.S., M.Si.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Hanura,PENI LISDAYANTI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Hanura,"PILIPUS DWI HARMONO, S.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,"PUTRI OKTAVIANI, S.T.",PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,RACHMAYANTI WULANDARI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Ummat,RAHAYU,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,RAMIDI,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,"REQI ENDAR WIJONARKO, S.H.",LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,RIAN MAHENDRA,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,RIDWAN,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,"RITA SURYANA, S.Pd.I.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,RIYANA SUPRIYATIN,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,ROBIN,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,ROFI'AN,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,ROJIH,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,"SAEFUL ANNAS, S.Pd.I.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,Sahrotun Nisa,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,SASIH PURNAMA SARI,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PAN,"SETYAWATI MOLYNA, M.Si.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKB,SIDAH,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,SISWADI SELODIPOERO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Demokrat,SOFIANA YUDIWATI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,SOPI ALGOJALI,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,"SUDARTO, S.Pd.I., M.M.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Buruh,SYAHOWATIN NUFUS,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,SYAHRUL BANI,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,SYARIFUDDIN TANZIL,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Garuda,"TAKARINA RISYANTI, S.E.",PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,"TARDJO RAGIL, S.E., M.Si.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Perindo,TASSIA LARAS PUTRI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Ummat,"TRI UTAMI KURNIAWATI, S.E.I.",PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PDIP,TRINI PUSPA LESTARI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,TSALASA KHOIRUN NISA',PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PSI,WAHYU SITI FAJRIYAH,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gelora,WIDATUN,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,WULAN YUNIATI,PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PKN,Y. DWIYANTO PANJI SAPUTRA,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PBB,YUAN PUSPITA DEWI,PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,PPP,YUNI DEWI NASIROH,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Gerindra,"ZAMRONI, S.E., M.M.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH II,Golkar,"ZUNIATUL KHAFIDHOH, S.Pd.I.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gelora,ABD ROKHIM,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKN,ADINDA OMEGA LESTARI TAGUDEDO,PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Buruh,AGUNG PURWANTO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gelora,"AGUS PURWANTO, S.T., M.T.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Buruh,AGUS RIYANTO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Nasdem,AHMAD NUR SAEFUL,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Perindo,"ALAN JUYADI, S.H.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Demokrat,AMAL ALGHOZALI,LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PPP,"ANISSA GEMALA, S.E.",PEREMPUAN,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PBB,"ANSIANA HAKIMATUL, A.P.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Ummat,ANSORIH,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKB,ANY ARIFAENI,PEREMPUAN,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Golkar,ARI DWI SARASWATI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PSI,Arthur Benar Maju,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PSI,"BAGUS SUBEKTI, S.H., M.H.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Perindo,"BAMBANG ANTO WIBOWO, S.H., M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PAN,"BAMBANG WIJANARKO, S.H.",LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PSI,BAMBANG WINARNO,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKS,"Brigjen. TNI (Purn.) OLOAN PARULIAN SIANTURI, M.M.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PAN,BUDIYONO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PAN,CAHYA BASUKI,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gelora,CICIK PURWATI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gerindra,DANANG W. S.,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKS,DARWAJI,LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Perindo,DAVID PUTRA SANJAYA,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Demokrat,DINA FATIKA SARI,PEREMPUAN,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Demokrat,DINA SEPTIYANI,PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PDIP,DISTIA ANJENGSARI,PEREMPUAN,9
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Nasdem,Dr. ATANG IRAWAN,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gerindra,dr. ATIK KUSDARWATI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Golkar,"Dr. BAMBANG SADONO, S.H., M.H.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Ummat,"dr. CANDRA ISTININGSIH DW, M.Sc., Sp. THT-BKL., M.H.",PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PDIP,"Dr. EVITA NURSANTY, M.Sc.",PEREMPUAN,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PDIP,Dr. H. ALWIN BASRI,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PDIP,"Dr. H. EDY WURYANTO, S.Kp., M.Kep.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Demokrat,"Dr. Ir. H. Djoko Udjianto, M.M.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Perindo,"Dr. Ir. H. TRANSTOTO HANDADHARI SHA, M.Sc.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PDIP,"Dr. WAGIMAN, S.H., M.Hum.",LAKI - LAKI,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Ummat,"Dr.A.P. H. YANUAR SASWITA, S.IP., M.Si.",LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Hanura,Drs. H. AKHMAD FADHOLI,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gerindra,"DWI SETYANINGTYAS, A.Md.",PEREMPUAN,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Hanura,DWI TRI HANDAYANI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Garuda,"EDI HAMDANI, S.Kom.",LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKB,"EKO AGUNG SUGIYARTO, S.T., M.I.Kom.",LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Buruh,EKO BUDIMAN,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PSI,ENDAH EKO PUDYASTUTI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gelora,"ENDAH RUSTANTI NUR HIDAYAH, S.Pd., M.M.",PEREMPUAN,9
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Ummat,ENDARTA,LAKI - LAKI,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Garuda,"ENNY SURYANTINI, S.E., M.M.",PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKN,ERVAN YODITIO LUSI,LAKI - LAKI,7
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Hanura,ETIKA HALAWA,LAKI - LAKI,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKB,EVA MONALISA,PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKS,EVARIDA,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKN,FACHRUL FIRMANSYAH,LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKB,"FARIDA FARICHAH, M.Si.",PEREMPUAN,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Perindo,FIKA RESTUANI,PEREMPUAN,3
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Golkar,FIRMAN SOEBAGYO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gerindra,"GIRI SINGGIH HARTARTO, S.H., LL.M.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Garuda,GUNAWAN MULYADI SULISTYO,LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKS,"H. AGUNG WIJAYANTO, S.E., M.M.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Hanura,"H. BAMBANG RAYA SAPUTRA, S.E.",LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKB,"H. M. NUR KHABSYIN, S.Pd., M.Si., M.H.",LAKI - LAKI,9
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PPP,"H. MOCHAMAD FATAH, S.Pd.I.",LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Gelora,"H. Suwanto, Bc.Hk.",LAKI - LAKI,8
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Demokrat,"Harmusa Oktaviani, S.E.",PEREMPUAN,2
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PSI,HARSONO,LAKI - LAKI,1
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PDIP,"HARYANTO, S.H., M.M., M.Si.",LAKI - LAKI,6
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Demokrat,"HENY PRASETYO, S.Kom.",LAKI - LAKI,4
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,PKB,"Hj. IIN TAZKIYYATUL MUTHMAINNAH, M.Kes.",PEREMPUAN,5
2024,DPR,JAWA TENGAH ,JAWA TENGAH III,Nasdem,"Hj. SRI WULAN, S.E., M.M.",PEREMPUAN,1
