Year,Election,Province name,Candidate Name ,,,,,,,,,,,,,
2019,DPD,Banten,SOFYAN NURDIN,,,,,,,,,,,,,
2019,DPD,Banten,"TB. TENGKU ABDUROHMAN, S.E., M.M",,,,,,,,,,,,,
2019,DPD,Banten,"TOPARI, S.Sos., M.H.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"ABDUL KHARIS MA’MUN, S.H.",,,,,,,,,,,,,
2019,DPD,Bengkulu,ABDUL RAUF TIKA,,,,,,,,,,,,,
2019,DPD,Bengkulu,BARLIAN,,,,,,,,,,,,,
2019,DPD,Bengkulu,"Dr. Ir. HERMEN MALIK, M.Sc.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"Dra. ENI KHAIRANI, M.Si.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"EMILIA PUSPITA, S.H.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"FATROLAZI, S.E.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"H. AHMAD KANEDI, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"H. ELFI HAMIDY MARAH SUDIN, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"Hj. RIRI DAMAYANTI JOHN LATIEF, S.Psi.",,,,,,,,,,,,,
2019,DPD,Bengkulu,"SULTAN BACTIAR, S.Sos., M.Si.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"ARIF NOOR HARTANTO, S.IP.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"BACHRUL ULUM, S.IP.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"CHANG WENDRYANTO, S.H.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"Dr. FIDELIS I. DIPONEGORO, S.Si., M.M.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"Dr. H. HILMY MUHAMMAD, M.A.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"Dr. Ir. BAMBANG SOEPIJANTO, M.M.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"Drs. H. A. HAFIDH ASROM, M.M.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,GUSTI KANJENG RATU HEMAS,,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,"H. CHOLID MAHMUD, M.T.",,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,MUHAMMAD AFNAN HADIKUSUMO,,,,,,,,,,,,,
2019,DPD,DI. Yogyakarta,YOHANES WIDI PRAPTOMO,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"A. SYAMSUL ZAKARIA, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"ALWIYAH AHMAD, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,ARDI PUTRA BARAMULI,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,Dr. ABDUL AZIS,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"Dra. Hj. SOEMIENTARSI MUNTORO, M.Si.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"FERRY ISWAN, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,H. AGUS SALIM,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,H. MOH. RIDWAN SR.,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"H. PARDI, S.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"H. SUDARTO, S.Pd.I., M.M.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"Hj. H. PATRIKA SUSANA, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,MUHAMMAD TAUFIK,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,P.K. TINO RAHARDIAN,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"Prof. Dr. H. JIMLY ASSHIDDIQIE, S.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,RIJAL,,,,,,,,,,,,,
2019,DPD,DKI Jakarta,"SLAMET ABADI, CPA.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta,SUSANA SURYANI SARUMAHA,,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,ARDINTO DEMIYASA,,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,"Dr. H. DAILAMI FIRDAUS, S.H., LL.M.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,"Drs. SUMARNO, M.Si.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,ENDANG WIDURI,,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,"FAHIRA IDRIS, S.E., M.H.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,"Ir. H. M. SALEH KHALID, M.M.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,"Ir. H. SUYARTONO SUWANDI, M.Sc.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,"Prof. Dr. Hj. SYLVIANA MURNI S.H., M.Si.",,,,,,,,,,,,,
2019,DPD,DKI Jakarta ,SABAM SIRAIT,,,,,,,,,,,,,
2019,DPD,Gorontalo,ABD MANAN PODUNGGE,,,,,,,,,,,,,
2019,DPD,Gorontalo,ALI SUTJIPTO SIDIKI,,,,,,,,,,,,,
2019,DPD,Gorontalo,ASRIN MOSII,,,,,,,,,,,,,
2019,DPD,Gorontalo,BURHAN MANTULANGI,,,,,,,,,,,,,
2019,DPD,Gorontalo,CONNY GOBEL,,,,,,,,,,,,,
2019,DPD,Gorontalo,"DEWI SARTIKA HEMETO, S.E.",,,,,,,,,,,,,
2019,DPD,Gorontalo,"Dr. H. WENI LIPUTO, M.M.",,,,,,,,,,,,,
2019,DPD,Gorontalo,Drs. A.D. KHALY,,,,,,,,,,,,,
2019,DPD,Gorontalo,"Drs. H. LAHMUDIN LAPARAGA, M.H.",,,,,,,,,,,,,
2019,DPD,Gorontalo,"Drs. H. MUHAMMAD N. TULI, M.Ag.",,,,,,,,,,,,,
2019,DPD,Gorontalo,ELLY MOPANGGA,,,,,,,,,,,,,
2019,DPD,Gorontalo,"H. ABDURRAHMAN ABUBAKAR BAHMID, Lc.",,,,,,,,,,,,,
2019,DPD,Gorontalo,"H. ARDJUN H. MOGULAINGO, S.H.",,,,,,,,,,,,,
2019,DPD,Gorontalo,"H. ISHAK LIPUTO, S.IP",,,,,,,,,,,,,
2019,DPD,Gorontalo,"Hj. MIRNAWATI MODANGGU, S.Ag., M.Pd.",,,,,,,,,,,,,
2019,DPD,Gorontalo,"IMAN MAANAIYA, S.K.M., M.K.K.K.",,,,,,,,,,,,,
2019,DPD,Gorontalo,INDRAWANTO HASAN,,,,,,,,,,,,,
2019,DPD,Gorontalo,Ir. FADEL MUHAMMAD,,,,,,,,,,,,,
2019,DPD,Gorontalo,Ir. SYARIFUDDIN MOBILIU,,,,,,,,,,,,,
2019,DPD,Gorontalo,"ISHAK KADILI, S.T.",,,,,,,,,,,,,
2019,DPD,Gorontalo,"JAMALUDDIN MOOWAGO, S.Kom",,,,,,,,,,,,,
2019,DPD,Gorontalo,"MOCH. DAHLAN USMAN, S.E.",,,,,,,,,,,,,
2019,DPD,Gorontalo,NILDA TULEN,,,,,,,,,,,,,
2019,DPD,Gorontalo,NURAINI PODUNGGE,,,,,,,,,,,,,
2019,DPD,Gorontalo,OKTAFINA PIKOLI,,,,,,,,,,,,,
2019,DPD,Gorontalo,RAHMIJATI JAHJA,,,,,,,,,,,,,
2019,DPD,Gorontalo,SATYA ALVINO PINANDITO BYA,,,,,,,,,,,,,
2019,DPD,Gorontalo,"SRI HANTUTI PARAMATA, S.E., M.Pd.",,,,,,,,,,,,,
2019,DPD,Gorontalo,SUMARNI R. GANI,,,,,,,,,,,,,
2019,DPD,Jambi,"ABDUL MUTALIB, S.Ag., M.Pd.I",,,,,,,,,,,,,
2019,DPD,Jambi,AL MUSYAIYAT,,,,,,,,,,,,,
2019,DPD,Jambi,AZIM ANTONI NOREGA JAIS,,,,,,,,,,,,,
2019,DPD,Jambi,"Dra., Hj. ELVIANA, M.Si",,,,,,,,,,,,,
2019,DPD,Jambi,Drs. ABDUL HALIM,,,,,,,,,,,,,
2019,DPD,Jambi,H. ABU BAKAR JAMALIA,,,,,,,,,,,,,
2019,DPD,Jambi,"H. AZHAR MULIA, S.E",,,,,,,,,,,,,
2019,DPD,Jambi,"H. ERIC HASMA, S.E., M.M",,,,,,,,,,,,,
2019,DPD,Jambi,"H. M. SYUKUR, S.H., M.H",,,,,,,,,,,,,
2019,DPD,Jambi,"H. SAIPUL AZWAR, S.Pt",,,,,,,,,,,,,
2019,DPD,Jambi,"Hj. DARYATI UTENG, S.E., M.M",,,,,,,,,,,,,
2019,DPD,Jambi,"IBNU KHOLDUN. S.H., M.H",,,,,,,,,,,,,
2019,DPD,Jambi,KEMUNING GILANG PERTIWI,,,,,,,,,,,,,
2019,DPD,Jambi,"KHAIRUN A. RONI, S.E., M.M",,,,,,,,,,,,,
2019,DPD,Jambi,"M. HENDRI M. NUR, S.H",,,,,,,,,,,,,
2019,DPD,Jambi,"M. SUM INDRA, S.E., M.MSi",,,,,,,,,,,,,
2019,DPD,Jambi,"MUSTHAFA LUTHFI, S.Ag., M.M",,,,,,,,,,,,,
2019,DPD,Jambi,"RIA MAYANG SARI, S.H., M.H",,,,,,,,,,,,,
2019,DPD,Jambi,"SALMAH MAHIR ISHAK, S.E",,,,,,,,,,,,,
2019,DPD,Jambi,"YASIR, S.E., M.E",,,,,,,,,,,,,
2019,DPD,Jambi,"YUAN FANESYAH, S.T",,,,,,,,,,,,,
2019,DPD,Jawa Barat,"A MULYANA, S.H., M.Pd., M.H.Kes.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,AA USEP EBIT MULYANA,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"AAN PERMANA, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,"AGIS MUCHYIDIN, S.T.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,AHMAD BASHIRUDDIN SYAMSUDDUHA,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"AJI SAPTAJI S.H.I, M.E.Sy.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,DELFIZAR,,,,,,,,,,,,,
2019,DPD,Jawa Barat,"DENI SUHERMAN, S.Pd.I., M.Pd.",,,,,,,,,,,,,
2019,DPD,Jawa Barat,"Dr. ABAH RUSKAWAN, M.M.",,,,,,,,,,,,,
