Year,Election ,Province name,Candidate name,,,,,,,,,
2024,DPD,Bengkulu,"Dr. Ir. H. IMRON ROSYADI, M.M., M.Si.",,,,,,,,,
2024,DPD,Bengkulu,EDI AGUSDIN,,,,,,,,,
2024,DPD,Bengkulu,"ELISA ERMASARI, S.Mn.",,,,,,,,,
2024,DPD,Bengkulu,"H. ABDUL KHARIS MA'MUN, S.H.",,,,,,,,,
2024,DPD,Bengkulu,"H. AHMAD KANEDI, S.H., M.H.",,,,,,,,,
2024,DPD,Bengkulu,"Hj. LENI HARYATI JOHN LATIEF, S.E., M.Si.",,,,,,,,,
2024,DPD,Bengkulu,PATRICE RIO CAPELLA,,,,,,,,,
2024,DPD,Bengkulu,SULTAN B. NAJAMUDIN,,,,,,,,,
2024,DPD,D.I.Yogyakarta,"Dr. H. HILMY MUHAMMAD, M.A.",,,,,,,,,
2024,DPD,D.I.Yogyakarta,"Dr. H. TUGIMAN, S.H. . M.SI",,,,,,,,,
2024,DPD,D.I.Yogyakarta,Drs. TRISNO SUNARD!,,,,,,,,,
2024,DPD,D.I.Yogyakarta,GUSTI KANJENG RATU HEMAS,,,,,,,,,
2024,DPD,D.I.Yogyakarta,H. A. KHUDHORI,,,,,,,,,
2024,DPD,D.I.Yogyakarta,"Ir. AHMAD SYAUQI SOERATNO, M.M.",,,,,,,,,
2024,DPD,D.I.Yogyakarta,Ir. CINDE LARAS YULIANTO,,,,,,,,,
2024,DPD,D.I.Yogyakarta,R.A. YASHINTA SEKARWANGI MEGA,,,,,,,,,
2024,DPD,D.I.Yogyakarta,"SINDU KURNIAWAN, S.E.",,,,,,,,,
2024,DPD,DKI Jakarta,"A. SYAMSUL ZAKARIA, S.H., M.H.",,,,,,,,,
2024,DPD,DKI Jakarta,ACHMAD AZRAN,,,,,,,,,
2024,DPD,DKI Jakarta,"ALWIYAH AHMAD, S.H.. M.H.",,,,,,,,,
2024,DPD,DKI Jakarta,ARDI PUTRA BARAMULI,,,,,,,,,
2024,DPD,DKI Jakarta,"CHRISTIANTO SURYOWIBOWO, S.E., M.E.",,,,,,,,,
2024,DPD,DKI Jakarta,"DARMAN SAIDI SIAHAAN, S.H., M.H.",,,,,,,,,
2024,DPD,DKI Jakarta,"Dr. (c). ZECKY ANDY ALATAS, S.H., M.H.",,,,,,,,,
2024,DPD,DKI Jakarta,"Dr. dr. ULLA NUCHRAWATY, M.M.",,,,,,,,,
