Year,Election ,Province name,Candidate name
2014,DPD,Bangka Belitung ,Zubaidah 
2014,DPD,Bangka Belitung ,"Zulfriandi Afan, S.E. "
2014,DPD,Banten,Andiara Aprilia Hikmat
2014,DPD,Banten,"Dr. Andriansyah, M.Si."
2014,DPD,Banten,"Dr. Gidion S. Hutagalung, S.H., S.Th., M.A. "
2014,DPD,Banten,Dr. H. Achmad Rusdi Arief 
2014,DPD,Banten,"Drs. H. Abdurachman, M.A.P. "
2014,DPD,Banten,Drs. H. Akhmad Haris 
2014,DPD,Banten,Drs. Habib Ali Alwi 
2014,DPD,Banten,"Gousta Feriza, S.H., M.H. "
2014,DPD,Banten,"H. Ahmad Imron, S.E. "
2014,DPD,Banten,H. Ahmad Subadri 
2014,DPD,Banten,"H. Gondo Radityo Gambiro, M.B.A. "
2014,DPD,Banten,"H. Iyus Priatna, S.Sos. "
2014,DPD,Banten,"H. M. Irsjad Djuwaeli, S.P., M.M. "
2014,DPD,Banten,H. Muhtar Imi 
2014,DPD,Banten,H. Mushin 
2014,DPD,Banten,"H. Odjat Sukardjat, S.H.I., M.B.A. "
2014,DPD,Banten,"H. Rosyid Haerudi, S.P., M.M. "
2014,DPD,Banten,H. Tb. Lucky Kaking
2014,DPD,Banten,"Hasan  Nuryadi, S.E., M.Ec. "
2014,DPD,Banten,"Hj. Hanif Sobari, M.Si"
2014,DPD,Banten,"Hj. Himmatul Aliyah, S.Sos., M.Si. "
2014,DPD,Banten,"Ir. Togu Pardamean Tobing, M.Si. "
2014,DPD,Banten,Iwan Kurniawan 
2014,DPD,Banten,"K.H. Ahmad Sadeli Karim, L.C. "
2014,DPD,Banten,M. Nurdin R
2014,DPD,Banten,"Moh. Jembar, M.Si. "
2014,DPD,Bengkulu ,"Cupli Risman, S.Sos"
2014,DPD,Bengkulu ,"Dinmar, S.Kom. "
2014,DPD,Bengkulu ,Dipi-ing. H. Bambang Soeroso
2014,DPD,Bengkulu ,Djatmiko 
2014,DPD,Bengkulu ,"Dr. Ir. H. Ruslan Wijaya, S.E., M.A.P. "
2014,DPD,Bengkulu ,"Dr. Rahimullah, S.H., M.Si. "
2014,DPD,Bengkulu ,"Dra. Hj. Eni Khairani, M.Si. "
2014,DPD,Bengkulu ,"Drs. H. Salamun Haris M, M.Si "
2014,DPD,Bengkulu ,Eri Yanto 
2014,DPD,Bengkulu ,"H. Ahmad Kanedi, S.H., M.H. "
2014,DPD,Bengkulu ,"H. Mohammad Saleh, S.E. "
2014,DPD,Bengkulu ,H. Syaiful Anwar Bachsin 
2014,DPD,Bengkulu ,"Iqbal Bastari, S.Pd. "
2014,DPD,Bengkulu ,"Ir. Ahmad Hamim Wicaksono, M.Sc. "
2014,DPD,Bengkulu ,Ir. Babulhairien A.B 
2014,DPD,Bengkulu ,Muhammad Kosim
2014,DPD,Bengkulu ,"Muspani, S.H. "
2014,DPD,Bengkulu ,"Radianto Star, S.T. "
2014,DPD,Bengkulu ,Riri Damayanti 
2014,DPD,Bengkulu ,"Yuan Rasugi Sang, S.Sos., M.H. "
2014,DPD,DI. Yogyakarta ,"Bambang Eko Prabowo, B.Sc., S.I.P. "
2014,DPD,DI. Yogyakarta ,"Drs. H. A. Hafidh Asrom, M.M. "
2014,DPD,DI. Yogyakarta ,"Drs. Sidarto Danusubroto, S.H. "
2014,DPD,DI. Yogyakarta ,Gusti Kanjeng Ratu Hemas 
2014,DPD,DI. Yogyakarta ,"H. A. Taufiqurrohman, S.Ag. "
2014,DPD,DI. Yogyakarta ,H. Abdul Muhaimin
2014,DPD,DI. Yogyakarta ,H. Fairuz Ahmad
2014,DPD,DI. Yogyakarta ,"H. Suratman, S.H., M.H. "
2014,DPD,DI. Yogyakarta ,"Ir. H. Cholid Mahmud, M.T. "
2014,DPD,DI. Yogyakarta ,"Ismarindayani, S.H., M.H., CN. "
2014,DPD,DI. Yogyakarta ,"Kombes. Pol (Purn). Muhammad Hirsam, S.H., M.Si. "
2014,DPD,DI. Yogyakarta ,Muhammad Afnan Hadikusumo
2014,DPD,DI. Yogyakarta ,"R. Fidelis Indriarto, S.SI., M.M. "
2014,DPD,DKI Jakarta ,"A. Syamsul Zakaria, S.H., M.H."
2014,DPD,DKI Jakarta ,Abdi Sumaithi
2014,DPD,DKI Jakarta ,"Abdul Azis Khafia, S.SI., M.Si."
2014,DPD,DKI Jakarta ,Ardi Putra Baramuli
2014,DPD,DKI Jakarta ,Dasril
2014,DPD,DKI Jakarta ,Dr. (HC.) A.M. Fatwa 
2014,DPD,DKI Jakarta ,"dr. Eddi Junaidi, Sp.OG., S.H., M. Kes. "
2014,DPD,DKI Jakarta ,"Dr.Ir. Heru J. Juwono, M.T."
2014,DPD,DKI Jakarta ,"drg. Moestar Putrajaya, M.H. "
2014,DPD,DKI Jakarta ,"Drs. Eddy Sadeli, S.H. "
2014,DPD,DKI Jakarta ,"Drs. H. Mohammad Joesoef, S.E., M.Si. "
2014,DPD,DKI Jakarta ,Drs. Mohammad Sjohirin. M.Si 
2014,DPD,DKI Jakarta ,Drs. Sergius Kelang
2014,DPD,DKI Jakarta ,F.X. Oerip Soedjoed
2014,DPD,DKI Jakarta ,"Fahira Idris, S.E. "
2014,DPD,DKI Jakarta ,"H. Pardi, S.H. "
2014,DPD,DKI Jakarta ,H. Rizki Aljupri
