Year,Province name,Election,Registered voters ,Valid votes ,Invalid votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes ,Elected to the presidency,,
2019,Papua Barat,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,508997,1,,
2019,Papua Barat,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,128732,0,,
2019,Riau,President & Vice President,,3224000,,,,,,,
2019,Riau,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,1248713,1,,
2019,Riau,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,1975287,0,,
2019,Sulawesi Barat,President & Vice President,,714932,,,,,,,
2019,Sulawesi Barat,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,369803,1,,
2019,Sulawesi Barat,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,345129,0,,
2019,Sulawesi Selatan,President & Vice President,,1397781,,,,,,,
2019,Sulawesi Selatan,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,555664,1,,
2019,Sulawesi Selatan,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,842117,0,,
2019,Sulawesi Tengah,President & Vice President,,4926984,,,,,,,
2019,Sulawesi Tengah,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,2117591,1,,
2019,Sulawesi Tengah,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,2809393,0,,
2019,Sulawesi Tenggara,President & Vice President,,738932,,,,,,,
2019,Sulawesi Tenggara,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,475312,1,,
2019,Sulawesi Tenggara,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,263620,0,,
2019,Sulawesi Utara,President & Vice President,,1580209,,,,,,,
2019,Sulawesi Utara,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,1220524,1,,
2019,Sulawesi Utara,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,359685,0,,
2019,Sumatera Barat,President & Vice President,,2896494,,,,,,,
2019,Sumatera Barat,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,407761,1,,
2019,Sumatera Barat,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,2488733,0,,
2019,Sumatera Selatan,President & Vice President,,1169487,,,,,,,
2019,Sumatera Selatan,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,583488,1,,
2019,Sumatera Selatan,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,585999,0,,
2019,Sumatera Utara,President & Vice President,,7524301,,,,,,,
2019,Sumatera Utara,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,3936515,1,,
2019,Sumatera Utara,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,3587786,0,,
2019,Luar Negeri ,President & Vice President,,778280,,,,,,,
2019,Luar Negeri ,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,570534,1,,
2019,Luar Negeri ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,207746,0,,
