Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected,,,,,,,,
2024,Banten,DPD,,,,GUNAWAN S,11,"63,158",,,,,,,,,
2024,Banten,DPD,,,,HABIB ALI ALWI,12,"488,317",1,,,,,,,,
2024,Banten,DPD,,,,H. ICHSAN HS,13,"109,765",,,,,,,,,
2024,Banten,DPD,,,,"Des. H. IDRIS JAMRONL, M.SI.",14,"79,777",,,,,,,,,
2024,Banten,DPD,,,,JULIANTO S.H.. M.H.,15,"139,415",,,,,,,,,
2024,Banten,DPD,,,,KHOERUN HUDA,16,"84,529",,,,,,,,,
2024,Banten,DPD,,,,LINDUNG GURNING,17,"71,197",,,,,,,,,
2024,Banten,DPD,,,,"H. MIPTAHUDDIN, S.T.. M.T.",18,"89,416",,,,,,,,,
2024,Banten,DPD,,,,MOCHAMMAD FARID DERMAWAN,19,"224,445",,,,,,,,,
2024,Banten,DPD,,,,"K.H. MUNAWIR, S.H, M.Pd.",20,"74,576",,,,,,,,,
2024,Banten,DPD,,,,"H. PUJIYANTO, S.E., M.M",21,"197,682",,,,,,,,,
2024,Banten,DPD,,,,"H. SURTAWLIAYA, S.Pd., M.Si.",22,"155,085",,,,,,,,,
2024,Banten,DPD,,,,"Dr. H. TB. M. ALL RIDHO AZHARI, S.H. M.H., M.I. Kom",23,"256,450",,,,,,,,,
2024,Banten,DPD,,,,"MARITON SIMANJUNTAR, S.E., S.H.",24,"98,299",,,,,,,,,
2024,Bengkulu,DPD,"1,494,828","1,141,196","152,754",,,,,,,,,,,,
2024,Bengkulu,DPD,,,,"H. ABDUL KHARIS MA'MUN, S.H.",1,"61,833",,,,,,,,,
2024,Bengkulu,DPD,,,,"H. AHMAD KANEDI, S.H., M.H.",2,"87,032",,,,,,,,,
2024,Bengkulu,DPD,,,,ANDRIAN WAHYUDI,3,"15,921",,,,,,,,,
2024,Bengkulu,DPD,,,,"DEF TRI HARDIANTO, S.I.P.",4,"20,661",,,,,,,,,
2024,Bengkulu,DPD,,,,"apt. DESTITA KHAIRILISANI, S.Farm., M.S.M.",5,"201,888",1,,,,,,,,
2024,Bengkulu,DPD,,,,EDI AGUSDIN,6," 10,083 ",,,,,,,,,
2024,Bengkulu,DPD,,,,"ELISA ERMASARI, S.Mn.",7,"325,842",1,,,,,,,,
2024,Bengkulu,DPD,,,,"Dr. Ir. H. IMRON ROSYADI, M.M., M.Si.",8,"73,101",,,,,,,,,
2024,Bengkulu,DPD,,,,"Hj. LENI HARYATI JOHN LATIEF, S.E., M.Si.",9,"129,045",1,,,,,,,,
2024,Bengkulu,DPD,,,,PATRICE RIO CAPELLA,10,"26,568",,,,,,,,,
2024,Bengkulu,DPD,,,,"Dr. H. RAHIMAN DANI, M.A.",11,"59,727",,,,,,,,,
2024,Bengkulu,DPD,,,,SULTAN B. NAJAMUDIN,12,"129,495",1,,,,,,,,
2024,D.I.Yogyakarta,DPD,"2,870,974","2,299,569","223,971",,,,,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,"Ir. AHMAD SYAUQI SOERATNO, M.M.",1,"398,903",1,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,H. A. KHUDHORI,2,"202,423",,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,Ir. CINDE LARAS YULIANTO,3,"36,058",,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,GUSTI KANJENG RATU HEMAS,4,"777,912",1,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,"Dr. H. HILMY MUHAMMAD, M.A.",5,"323,080",1,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,R.A. YASHINTA SEKARWANGI MEGA,6,"470,211",1,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,"SINDU KURNIAWAN, S.E.",7,"14,064",,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,Drs. TRISNO SUNARD!,8,"35,063",,,,,,,,,
2024,D.I.Yogyakarta,DPD,,,,"Dr. H. TUGIMAN, S.H. . M.SI",9,"41,855",,,,,,,,,
2024,DKI Jakarta,DPD,"8,252,897","5,613,949","848,406",,,,,,,,,,,,
2024,DKI Jakarta,DPD,,,,ACHMAD AZRAN,1,"456,247",1,,,,,,,,
2024,DKI Jakarta,DPD,,,,"ALWIYAH AHMAD, S.H.. M.H.",2,"252,341",,,,,,,,,
2024,DKI Jakarta,DPD,,,,ARDI PUTRA BARAMULI,3,"208,656",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"A. SYAMSUL ZAKARIA, S.H., M.H.",4,"119,015",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"CHRISTIANTO SURYOWIBOWO, S.E., M.E.",5,"103,175",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"Prof. Dr. H. DAILAMI FIRDAUS, S.H., LL.M.",6,"613,721",1,,,,,,,,
2024,DKI Jakarta,DPD,,,,"DARMAN SAIDI SIAHAAN, S.H., M.H.",7,"107,409",,,,,,,,,
2024,DKI Jakarta,DPD,,,,ENDANG WIDURI,8,"123,868",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"FAHIRA IDRIS, S.E., M.H.",9,"745,841",1,,,,,,,,
2024,DKI Jakarta,DPD,,,,Hj. HAPPY DJAROT,10,"656,815",1,,,,,,,,
2024,DKI Jakarta,DPD,,,,ILYAS,11,"212,814",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"H. MADANI B. H. MADALI, S.Sos.. M.Si.",12,"315,784",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"H. MUSTOPA MURTADO, S.E.",13,"92,298",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"H. PARDI, S.H.",14,"92,275",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"St. RAMSES BUTAR BUTAR, S.H., M.Kn.",15,"215,685",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"Dr. Hj. RENY HALIDA I. M., S.H., M.H.",16,"190,903",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"SLAMET ABADI, S.E. Ak., CA.. CPA.",17,"26,510",,,,,,,,,
2024,DKI Jakarta,DPD,,,,SYAIFUDDIN,18,"195,366",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"Hj. SYAMSIDAR SIREGAR, S.I.P.",19,"101,180",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"H. SYARIEF HIDAYATULLOH, S.E.",20,"52,146",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"SYIFA AWALIA, S.Pd.I., S.E.Sy., M.M.",21,"146,596",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"Prof. Dr. Hj. SYLVANA MURNI, S.H., M.Si.",22,"436,923",,,,,,,,,
2024,DKI Jakarta,DPD,,,,Ir. TENGKU MUHAMMAD NURHAFIDZ,23,"38,336",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"Dr. dr. ULLA NUCHRAWATY, M.M.",24,"28,367",,,,,,,,,
2024,DKI Jakarta,DPD,,,,"Dr. (c). ZECKY ANDY ALATAS, S.H., M.H.",25,"81,678",,,,,,,,,
2024,Gorontalo,DPD,"881,206","744,606","37,364",,,,,,,,,,,,
2024,Gorontalo,DPD,,,,ANA SUPRIYANA ABDUL HAMID. S.H.. M.Kn.,1,"45,586",,,,,,,,,
2024,Gorontalo,DPD,,,,"DEWI SARTIKA HEMETO, S.E.",2,"59,171",,,,,,,,,
2024,Gorontalo,DPD,,,,Prof. Dr. Ir. FADEL MUHAMMAD,3,"242,732",1,,,,,,,,
2024,Gorontalo,DPD,,,,HENGKI MALIKI,4,"11,866",,,,,,,,,
2024,Gorontalo,DPD,,,,"JAMALUDDIN K. MOOWAGO, S.Kom.",5,"7,470",,,,,,,,,
2024,Gorontalo,DPD,,,,H. JASIN U. DILO,6,"63,904",1,,,,,,,,
2024,Gorontalo,DPD,,,,RAMMIJATI JAHJA,7,"85,146",1,,,,,,,,
2024,Gorontalo,DPD,,,,"RONALD S. BIDJUNI, 5.5n.",8,"20,911",,,,,,,,,
2024,Gorontalo,DPD,,,,dr. KUSLIYANTO MONOARRA,9,"31,887",,,,,,,,,
2024,Gorontalo,DPD,,,,"Hi. SYARIR MBUINCA, S.PJ.T., S.E., M.M.",10,"101,992",1,,,,,,,,
2024,Gorontalo,DPD,,,,H. TONNY S.JUNUS,11,"57,807",,,,,,,,,
2024,Gorontalo,DPD,,,,"H. YUSRIM. HELINGO, S.E., M.M.",12,"16,134",,,,,,,,,
2024,Jambi,DPD,"2,676,107","1,821,475","434,263",,,,,,,,,,,,
