Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"TUKIRIN SURYO ADINAGORO, S.E.",16,"54,030",,,,,,,,,
2024,Kalimantan Selatan,DPD,"3,025,220","2,107,817","416,345",,,,,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"ANTUNG FATMAWATI, S.T.",1,"145,739",,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"H. GUSTI FARID HASAN AMAN, S.E., A.Kt., M.B.A.",2,"301,738",1,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"HABIB HAMID ABDULLAH, S.H., M.H.",3,"269,903",1,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"H. HABIB UMAR AL IDRUS, S.M.",4,"258,284",,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,HABIB ZAKARIA BAHASYIM,5,"415,223",1,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"Dr. H PANGERAN SYARIF ABDURRAHMAN BAHASYIM, M.M. HABIB BANUA.",6,"236,484",,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"MUHAMMAD HIDAYATTOLLAH, S.Pd.",7,"314,979",1,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"H. MUHAMMAD YAMIN, I.E.",8,"71,539",,,,,,,,,
2024,Kalimantan Selatan,DPD,,,,"NANIK HAYATI, S.Sos.",9,"93,928",,,,,,,,,
2024,Kalimantan Tengah,DPD,"1,935,116","1,330,826","214,728",,,,,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"Dr. AGUSTIN TERAS NARANG, S.H.",1,"366,226",1,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"H. AMANTO SURYA LANGKA, Lc.",2,"89,825",,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"BELLA BRITTANI BAHAT, S.T.",3,"111,310",,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"dr. Hj. ERNI DARYANTI, M. Biomed.",4,"168,413",1,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,HABIB SAYID ABI NAZAR ALHABSYI,5,"113,685",,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"H SITI ASEANTI, S. ST., M. Keb.",6,"118,892",1,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"Dr. Hj. ISWANTI DARWAN ALI, S.E., M.M.",7,"90,263",,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,"Dr. PERDIE M. YOSEPH, M.A.",8,"102,613",,,,,,,,,
2024,Kalimantan Tengah,DPD,,,,HABIB SAID ABDURRAHMAN,9,"169,599",1,,,,,,,,
2024,Kalimantan Timur,DPD,"2,778,644","1,900,969","358,742",,,,,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"ABDUL JAWAD, 8.M. M.M.",1,"95,806",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,AJ MIRNI MAWARNI 8.T. M.M.,2,"188,193",1,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"H. ANDI FATHUL KHAIR, 8.808.",3,"48,084",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"Dr. dr. ANDI 8ORYAN HABDAM, 8p.N.",4,"179,346",1,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"ADt. A. ZALDY IRZA PAHLEVY ABDURRASYID, S.SL., M.Farm.",5,"28,496",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"Ir. H. BAMBANG SUSILO, M.M.",6,"61,246",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"ir. H. EMIR MOE18, M.Sc.",7,"124,566",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,K.H. FAHRUR RAZI,8,"84,834",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"HABIB AHMAD BAHASYIM, 8.E., M.M.",9,"114,871",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"H. JAFAR ABDUL GAFFAR, 8.Sos., M.H.",10,"38,683",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"KAMAL HARPA, S.Sos.",11,"18,428",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"H. MUHAMMAD FATHUR RAHMAN AL KUTAI, S.H., M.H.",12,"114,591",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"H. NANANG SULAIMAN, S.E.",13,"86,763",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,NASPI ARSYAD,14,"103,367",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"Dr. H. RENDI SUSISWO ISMAIL, S.H., M.H.",15,"75,018",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"SINTA ROSMA YENTI, S.A.P.",16,"219,819",1,,,,,,,,
2024,Kalimantan Timur,DPD,,,,Mayjen TNI (Purn) SOBDARMO,17,"40,312",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"BUMADI, S.Sos.",18,"8,528",,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"Dt. YULIANUS HENOCK SUMUAL, S.H., M Si.",19,"140,044",1,,,,,,,,
2024,Kalimantan Timur,DPD,,,,"ZAINAL ARIFIN, A.Md., Kep.",20,"129,974",,,,,,,,,
2024,Kalimantan Utara,DPD,"504,252","372,937","36,133",,,,,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"ABD. DJALI FATAH, S.H., M.M.",1,"18,996",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"AJI MUHAMMAD ARI WEJAYA, S.J.",2,"5,373",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,DT. BUYUNG PERKASA,3,"9,476",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"FERNANDO SINAGA, S.Th.",4,"27,637",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"H. HASAN BASRI, S.E., M.H.",5,"51,725",1,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"Dr. Drs. HENDRIS DAMUS, M.SL.",6,"19,113",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"HERMAN, S.H.",7,"55,198",1,,,,,,,,
2024,Kalimantan Utara,DPD,,,,H. ISMUNANDAR AZIS,8,"15,428",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,LARASATI MORISKA,9,"45,559",1,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"Dr. Drs. MARTHIN BILLA, M.M.",10,"45,119",1,,,,,,,,
2024,Kalimantan Utara,DPD,,,,MUHAMMAD FAJRI ALFA ROBI,11,"10,312",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"MUHAMMAD SYAWAL, SE. M.M.",12,"4,032",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"MUKLIS, S.H., M.H.",13,"11,255",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,SISWANTARA,14,"3,998",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"Hj. SRI SULARTININGSIH, S.I.Kom., M.I.Kom.",15,"44,455",,,,,,,,,
2024,Kalimantan Utara,DPD,,,,"SYAMSUDDIN, S.Pd., M.Pd., M.H.",16,"5,261",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,"1,067,434","733,440","178,205",,,,,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,ALEXANDER FRANSISCUS,1,"50,281",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"BAHAR BUASAN, S.T., M.Sc.",2,"102,065",1,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"Dr. H. BAMBANG DWI HARTONO, M.Si.",3,"27,207",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,Ir. H. DARMANSYAH HUSEIN,4,"80,188",1,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"DARWIS, S.Ag-",5,"40,845",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"DEDY YULIANTO, S.E.",6,"24,228",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"DINDA REMBULAN, B.A.",7,"86,813",1,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"H. EKA MULYA PUTRA, S.E., M.Si.",8,"26,800",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"FADJAR FAIRY RUSNI, S.H.",9,"4,740",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"HERRY ERFIAN, S.T.",10,"67,432",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"Dr. JUNAIDI ABDILLAH, S.H., M.H.",11,"11,181",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,"Dr. JUSTIAR NOER, M.Si.",12,"39,016",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,Ust. H. RUSDIYANTO,13,"19,743",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,H. YUS DERAHMAN,14,"36,850",,,,,,,,,
2024,KEP.Bangka Belitung,DPD,,,,Ust. H. ZUHRI M. SYAZALI,15,"116,051",1,,,,,,,,
2024,KEP.Riau,DPD,"1,500,974","1,036,889","124,848",,,,,,,,,,,,
2024,KEP.Riau,DPD,,,,"DAVID FAREL SIBUEA, M.Th., D.Min.",1,"29,943",,,,,,,,,
2024,KEP.Riau,DPD,,,,H. DHARMA SETIAWAN,2,"172,868",1,,,,,,,,
2024,KEP.Riau,DPD,,,,"DWI AJENG SEKAR RESPATY, S.H., M.Kn.",3,"111,920",1,,,,,,,,
2024,KEP.Riau,DPD,,,,"GERRY YASID, S.H., M.H.",4,"33,981",,,,,,,,,
2024,KEP.Riau,DPD,,,,"Drs. H. HARDI SELAMAT HOOD, M.Si., Ph.D.",5,"53,782",,,,,,,,,
2024,KEP.Riau,DPD,,,,HARIPINTO TANUWIDJAJA,6,"92,131",,,,,,,,,
2024,KEP.Riau,DPD,,,,Ir. HOTMAN HUTAPEA,7,"20,311",,,,,,,,,
2024,KEP.Riau,DPD,,,,Drs. ISMETH ABDULLAH,8,"132,563",1,,,,,,,,
2024,KEP.Riau,DPD,,,,"JUANDA, S.Mn., M.M.",9,"18,709",,,,,,,,,
2024,KEP.Riau,DPD,,,,RIA SAPTARIKA,10,"162,400",1,,,,,,,,
2024,KEP.Riau,DPD,,,,"Dr. RICHARD HAMONANGAN PASARIBU, B.Sc., M.Sc.",11,"78,608",,,,,,,,,
2024,KEP.Riau,DPD,,,,SIRAJUDIN NUR,12,"81,432",,,,,,,,,
2024,KEP.Riau,DPD,,,,STEPHANE GERALD MARTOGI SIBURIAN,13,"42,203",,,,,,,,,
2024,KEP.Riau,DPD,,,,"SUNARTO PONIMAN, S.H.",14,"6,038",,,,,,,,,
2024,Lampung,DPD,"6,539,128","4,362,846","837,227",,,,,,,,,,,,
2024,Lampung,DPD,,,,"KH. L. ABDUL HAKIM, M.M.",1,"448,702",1,,,,,,,,
2024,Lampung,DPD,,,,AGUNG IMAM PRASETYO,2,"201,731",,,,,,,,,
2024,Lampung,DPD,,,,Drs. H. AHMAD BASTIAN SY,3,"484,996",1,,,,,,,,
2024,Lampung,DPD,,,,"ALMIRA NABILA FAUZI, B.Bus. Com.",4,"404,579",,,,,,,,,
2024,Lampung,DPD,,,,"H. BENNY UZER, S.H.",5,"273,013",,,,,,,,,
2024,Lampung,DPD,,,,"Dr. H. BUSTAMI ZAINUDIN, S.Pd, M.H.",6,"431,702",1,,,,,,,,
2024,Lampung,DPD,,,,"DAVIT KURNIAWAN, S. Kom.",7,"81,275",,,,,,,,,
2024,Lampung,DPD,,,,"DEVI SISWANDANI, S.Pd",8,"347,205",,,,,,,,,
2024,Lampung,DPD,,,,"DYAH SITI NURAINI, S.E., M.Ak.",9,"139,519",,,,,,,,,
2024,Lampung,DPD,,,,"FARAH NURIZA AMELIA, S.H.",10,"102,720",,,,,,,,,
2024,Lampung,DPD,,,,HERI PROLETARI DWI KARTIKA.AZ,11,"42,161",,,,,,,,,
2024,Lampung,DPD,,,,"dr. JIHAN NURLELA, M.M.",12,"910,318",1,,,,,,,,
2024,Lampung,DPD,,,,"H. KHAIDIR BUJUNG, S.Ag., M.M.",13,"93,593",,,,,,,,,
2024,Lampung,DPD,,,,PETRUS TANDRA,14,"163,799",,,,,,,,,
2024,Lampung,DPD,,,,"H. SM HERLAMBANG, S.H., M.H",15,"70,549",,,,,,,,,
2024,Lampung,DPD,,,,"H. SUPENO, S.H.I.",16,"86,609",,,,,,,,,
2024,Lampung,DPD,,,,H. TULUS PURNOMO WIBOWO,17,"80,375",,,,,,,,,
2024,Maluku,DPD," 1,341,012 "," 1,035,107 ",57922,,,,,,,,,,,,
2024,Maluku,DPD,,,,"ABUKASIM SANGADJI, S.Sos., M.Si",1,"32,628",,,,,,,,,
2024,Maluku,DPD,,,,"ALI ROHO TALAOHU, S.I.P., M.I.Pol. ",2,"53,283",,,,,,,,,
2024,Maluku,DPD,,,,"ANNA LATUCONSINA, S.H., S.I.Kom.",3," 126,595 ",1,,,,,,,,
2024,Maluku,DPD,,,,"BISRI AS SHIDDIQ LATUCONSINA, S.Sos.",4,"110,163",1,,,,,,,,
2024,Maluku,DPD,,,,"FRANGKOIS KLEMENS ORNO, S.I.P.",5,"66,880",,,,,,,,,
2024,Maluku,DPD,,,,"Ir. HASANUDDIN RUMRA, M.SÍ.",6,"33,923",,,,,,,,,
2024,Maluku,DPD,,,,Н. M. YASIN WELSON LAJAHA,7,"50,254",,,,,,,,,
2024,Maluku,DPD,,,,"JOSEPH SIKTEUBUN, S.Sos.",8,"70,776",,,,,,,,,
2024,Maluku,DPD,,,,"Ir. MELKIAS L. FRANS, M.SL.",9,"56,151",,,,,,,,,
2024,Maluku,DPD,,,,"MIRATI DEWANINGSIH, S.T.",10,"85,690",1,,,,,,,,
2024,Maluku,DPD,,,,"Dr. NONO SAMPONO, M.Si.",11,"84,660",,,,,,,,,
2024,Maluku,DPD,,,,"NOVITA ANAKOTTA, S.H., M.H.",12,"180,335",1,,,,,,,,
2024,Maluku,DPD,,,,"SAMSON YASIR ALKATIRI, S.Pi., M.Si.",13,"19,917",,,,,,,,,
2024,Maluku,DPD,,,,"SITTI AMINA AMAHORU, S.S., M.IKom.",14,"63,852",,,,,,,,,
2024,Maluku Utara,DPD,"953,978","705,273","47,205",,,,,,,,,,,,
2024,Maluku Utara,DPD,,,,"HASBY YUSUF, S.E.",1,"73,980",1,,,,,,,,
2024,Maluku Utara,DPD,,,,HELMI UMAR MUCHSIN,2,"46,353",,,,,,,,,
2024,Maluku Utara,DPD,,,,"HIDAYAT M. SJAH, S.I.P., M.A.P.",3,"95,030",1,,,,,,,,
2024,Maluku Utara,DPD,,,,"IKBAL HI. DJABID, S.E., M.M.",4,"42,675",,,,,,,,,
2024,Maluku Utara,DPD,,,,MAKMURDIN MUS,5,"49,522",,,,,,,,,
2024,Maluku Utara,DPD,,,,"Ir. NAMTO ROBA, S.H.",6,"75,689",1,,,,,,,,
2024,Maluku Utara,DPD,,,,"NATALI DEFITA PASIMANJEKU, BIB",7,"49,547",,,,,,,,,
2024,Maluku Utara,DPD,,,,"PRIVCO SEBASTIAN BITJOLI, S.H",8,"13,449",,,,,,,,,
2024,Maluku Utara,DPD,,,,"Dr. R. GRAAL TALIAWO, S.Sos., M.Si ",9,"103,783",1,,,,,,,,
2024,Maluku Utara,DPD,,,,"Dr. RIVAI UMAR, S.E., M.Si.",10,"19,674",,,,,,,,,
2024,Maluku Utara,DPD,,,,ROSIANA SYARIF,11,"36,686",,,,,,,,,
2024,Maluku Utara,DPD,,,,"SAHRANI SOMADAYO, S.T., M.Si.",12,"9,767",,,,,,,,,
2024,Maluku Utara,DPD,,,,"SAHRIN HAMID, S.H.",13,"24,913",,,,,,,,,
2024,Maluku Utara,DPD,,,,"SALLU AJAM, S.E.",14,"6,544",,,,,,,,,
2024,Maluku Utara,DPD,,,,"SARKA ELADJOUW, S.E",15,"28,636",,,,,,,,,
2024,Maluku Utara,DPD,,,,"Dr. SUDJUD SIRADJUDDIN, S.H., M.H.",16,"10,656",,,,,,,,,
2024,Maluku Utara,DPD,,,,"SUGENG CAHYONO, S.H., M.Si.",17,"18,369",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,"3,918,291","2,893,906","426,508",,,,,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"H. ACHMAD SUKISMAN AZMY, M.H.",1,"182,624",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"Dr. AHMAD TURMUZI, S.S., M.Pd.",2,"87,090",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"Hj. EVI APITA MAYA, S.H., M.Kn.",3,"315,007",1,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"TGH. IBNU HALIL, S.Ag., M.Pd.I.",4,"328,713",1,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"JAMHARI LATIF, S.E.",5,"51,132",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"TGH. LALU GEDE MUHAMAD ALI WIRASAKTI AMIR MURNI, M.A.",6,"207,600",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"BRIGJEN TNI (Pum.) LALU RUDY I. SRIGEDE, S.T., M.Si.",7,"147,046",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,H. LALU SUHAIMI ISMY,8,"197,816",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,MASKAHYANGAN,9,"64,835",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"Hj. MAUREEN G. WENAS, S.E.",10,"63,971",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,MIRAH MIDADAN FAHMID,11,"265,104",1,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"TGH. MUHAIMIN YAHYA MUTAWALLI, S.Sos.",12,"96,638",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,MUH RIFKI FARABI,13,"284,126",1,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"MULYADI, S.P.",14,"49,950",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"Dr. Drs. H. MUSA SHOFIANDY, S.H., M.M.",15,"19,344",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"NURDIN RANGGABARANI, S.H., M.H.",16,"135,601",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,Hj. NURHAIDAH,17,"121,053",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,Drs. H. RIDWAN HIDAYAT,18,"30,137",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"SA'ADATUL HAYATI PUTRI, S.K.G.",19,"49,094",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,"SABOLAH, M.Pd.",20," 120,399 ",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,H.SUHUBUNNURI,21,"20,509",,,,,,,,,
2024,Nusa Tenggara Barat,DPD,,,,TAUHID RIFAI .S.Ag,22,"56,117",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,"4,008,475","2,772,248","177,674",,,,,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,Ir. ABRAHAM LIYANTO,1,"279,392",1,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"ANGELIUS WAKE KAKO, S.Pd.,M.Si.",2,"362,645",1,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,dr. ASYERA R.A. WUNDALERO,3,"169,974",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"CHRISTOPHER RAYMOND TANNUR, S.E.",4,"150,173",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"EL ASAMAU, S.IP., M.P.P.",5,"265,900",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"FERDINANDUS HASIMAN, S.S., M.IP",6,"137,273",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"HILDA MANAFE, S.E., M.M.",7,"267,195",1,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"HIRONIMUS MAWO DOPO, S.E.",8,"58,845",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,IVAN R. RONDO,9,"11,792",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"Drs. JULIANUS POTE LEBA, M.Si.",10,"101,128",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"MAKSIMUS RAMSES LALONGKOE, S.Sos., M.Sc.",11,"40,172",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,dr. MARIA STEVI HARMAN,12,"405,579",1,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,PATJE OKTOFIANUS TASUIB. S.Sos.,13,"65,723.00",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,Ir. SARAH LERY MBOBIK SITI SAUDAH,14,"76,230",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,H. MUSTAFA,15,"141,808",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"Ir. THOMAS SERAN, M.M.",16,"81,833",,,,,,,,,
2024,Nusa Tenggara Timur,DPD,,,,"UMBU WULANG TANAAMAH PARANGGI, S. Ses.",17,"156,586",,,,,,,,,
2024,Papua,DPD,"727,835","595,031","88,649",,,,,,,,,,,,
2024,Papua,DPD,,,,"CAREL SIMON PETRUS SUEBU, S.E.",1,"115,036",1,,,,,,,,
2024,Papua,DPD,,,,DARUSSALAM DAMIR KS,2,"47,990",,,,,,,,,
2024,Papua,DPD,,,,"Pdt. DAVID HAROLD WAROMI, SM.Th.",3,"98,520",1,,,,,,,,
2024,Papua,DPD,,,,"HENOCK PURARO, S.Sos.",4,"49,807",,,,,,,,,
2024,Papua,DPD,,,,"H. KUMAR, S.Ag., S.H., M.H.",5,"35,460",,,,,,,,,
2024,Papua,DPD,,,,"LALITA, S.H.",6,"52,087",1,,,,,,,,
2024,Papua,DPD,,,,"H. MADDU MALLU, S.E.",7,"43,007",,,,,,,,,
2024,Papua,DPD,,,,"MOH EL BAHAR, S.E.",8,"30,664",,,,,,,,,
2024,Papua,DPD,,,,NUR DAVID PERMANA,9,"10,064",,,,,,,,,
2024,Papua,DPD,,,,"REGINA MUABUAY, S.Pd.",10,"70,564",1,,,,,,,,
2024,Papua,DPD,,,,YAKONIAS WABRAR,11,"41,832",,,,,,,,,
2024,Papua Barat,DPD,"385,465","304,722","30,558",,,,,,,,,,,,
2024,Papua Barat,DPD,,,,"ABDULLAH MANARAY, S.T.",1,"39,583",1,,,,,,,,
2024,Papua Barat,DPD,,,,ADOLOF FONATABA. S.Pt.,2,"20,900",,,,,,,,,
2024,Papua Barat,DPD,,,,"Dr. FILEP WAMAFMA. S.H., M.Hum.",3,"57,482",1,,,,,,,,
2024,Papua Barat,DPD,,,,"ISHAK MANDACAN, S.H.",4,0,,,,,,,,,
2024,Papua Barat,DPD,,,,JEFERSON JEMI LIUNSANDA,5,"21,911",,,,,,,,,
2024,Papua Barat,DPD,,,,"LAMEK DOWANSIBA, A.Md.Par.",6,"57,973",1,,,,,,,,
2024,Papua Barat,DPD,,,,RUDOLF ANTHONIUS TONDOK. S.Kom.,7,"11,818",,,,,,,,,
2024,Papua Barat,DPD,,,,"SAMAD RUMALOLAS, S.Sos.",8,"14,717",,,,,,,,,
2024,Papua Barat,DPD,,,,"H. SUYANTO, S.H., M.Kn., M.H.",9,"24,578",,,,,,,,,
2024,Papua Barat,DPD,,,,"WILLIAM ABRAHAM RAMAR, S.Pd.",10,"9,286",,,,,,,,,
2024,Papua Barat,DPD,,,,"YANCE SAMONSABRA, S.H., M.Si.",11,"31,178",1,,,,,,,,
2024,Papua Barat,DPD,,,,"ZAKARIAS FENETIRUMA, S.Pd.",12,"15,296",,,,,,,,,
2024,Papua Barat Daya,DPD,"440,826","330,600","32,942",,,,,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"AGIL SAENI, S.Hut., M.Si.",1,"14,611",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"AGUSTINUS R. KAMBUAYA, S.I.P.",2,"48,619",1,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"AMALUT BOINAUW, S.I.P.",3,"11,584",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"AMUS ATKANA, S.H., S.Pt., M.M.",4,"18,901",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,H. HARTONO,5,"35,014",1,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"HASBI SUAIB, S.T., M.H.",6,"25,399",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"Pdt. MAMBEROB Y. RUMAKIEK, S.Si., M.Kesos.",7,"52,542",1,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"M. SANUSI RAHANINGMAS, S.Sos., M.M.Sip.",8,"32,525",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"MUHDAR ICHSAN WEUL, S.P.",9,"5,584",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"PAUL FINSEN MAYOR, S.I.P., CM.NNLP.",10,"63,416",1,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"SEPTINUS LOBAT, S.H.",11,"15,632",,,,,,,,,
2024,Papua Barat Daya,DPD,,,,"SOKHIB NAIM, S.H., M.H.",12,"6,773",,,,,,,,,
2024,Papua Selatan,DPD,"367,269","298,277","22,101",,,,,,,,,,,,
2024,Papua Selatan,DPD,,,,ADIB FUAD,1,"44,527",1,,,,,,,,
2024,Papua Selatan,DPD,,,,"AGUSTA KURUWOP, S.Sos.",2,"18,151",,,,,,,,,
2024,Papua Selatan,DPD,,,,ANTO,3,"26,041",,,,,,,,,
2024,Papua Selatan,DPD,,,,"Pdt. CARLES SIMARE MARE, S.Th., M.SI.",4,"14,401",,,,,,,,,
2024,Papua Selatan,DPD,,,,"DAYANA, A.P.Par.",5,"15,747",,,,,,,,,
2024,Papua Selatan,DPD,,,,FRANSISKUS OHOIWUTUN,6,"18,054",,,,,,,,,
2024,Papua Selatan,DPD,,,,"FRITS TOBO WAKASU, S.PAK., S.H.",7,"28,224",1,,,,,,,,
2024,Papua Selatan,DPD,,,,"JANNERS JOKSAN NUSSY, S.H.",8,"5,502",,,,,,,,,
2024,Papua Selatan,DPD,,,,"KRISANTO FRANSISKUS X. AGAWEMU, S.P. W.K.",9,"16,507",,,,,,,,,
2024,Papua Selatan,DPD,,,,LE ROY T. AGAKI,10,"3,969",,,,,,,,,
2024,Papua Selatan,DPD,,,,"MARSIA LEFTEUW, S.Sos.",11,"4,741",,,,,,,,,
2024,Papua Selatan,DPD,,,,"MERRY GOBAY, S.E.",12,"13,189",,,,,,,,,
2024,Papua Selatan,DPD,,,,"RUDY TIRTAYANA, S.E.",13,"30,711",1,,,,,,,,
2024,Papua Selatan,DPD,,,,"SIMON PETRUS BALAGAISE, A.Md. Par.",14,"17,141",,,,,,,,,
2024,Papua Selatan,DPD,,,,"SULARSO, S.E.",15,"28,130",1,,,,,,,,
2024,Papua Selatan,DPD,,,,"URBANUS ALEU KAIZE, S.I.P., M.A.P.",16,"9,538",,,,,,,,,
2024,Papua Selatan,DPD,,,,"YACOBUS DUWIRI, S.E., M.SI.",17,"3,704",,,,,,,,,
2024,Papua Tengah ,DPD,"1,128,844","1,115,527","17,953",,,,,,,,,,,,
2024,Papua Tengah ,DPD,,,,"ARNOLD BENEDIKTUS KAYAME, S.H.",1,"52,378",,,,,,,,,
2024,Papua Tengah ,DPD,,,,"EKA KRISTINA YEIMO, S.Pd.. M.Si.",2,"146,004",1,,,,,,,,
2024,Papua Tengah ,DPD,,,,"HAM NAWIPA, S.Sos.",3,"35,641",,,,,,,,,
2024,Papua Tengah ,DPD,,,,"JHONI UKAGO, S.Ak",4,"44,878",,,,,,,,,
2024,Papua Tengah ,DPD,,,,LIS TABUNI,5,"246,693",1,,,,,,,,
