Year,Province name,Election,Registered voters ,Valid votes ,Invalid votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes ,Elected to the presidency
2014,Maluku Utara,President & Vice President,"840,253","563,393","2,577",,,,
2014,Maluku Utara,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"306,792",0
2014,Maluku Utara,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"256,601",1
2014,Nusa Tenggara Barat,President & Vice President,"3,522,679","2,545,416","24,581",,,,
2014,Nusa Tenggara Barat,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"1,844,178",0
2014,Nusa Tenggara Barat,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"701,238",1
2014,Nusa Tenggara Timur,President & Vice President,"3,185,121",2257467,"16,612",,,,
2014,Nusa Tenggara Timur,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"769,391",0
2014,Nusa Tenggara Timur,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"1,488,076",1
2014,Papua,President & Vice President,"3,238,288","2,795,867","37,378",,,,
2014,Papua,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"769,132",0
2014,Papua,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"2,026,735",1
2014,Papua Barat,President & Vice President,"715,462","532,907","3,363",,,,
2014,Papua Barat,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"172,528",0
2014,Papua Barat,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"360,379",1
2014,Riau,President & Vice President,"4,208,306","2,692,155","17,623",,,,
2014,Riau,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"1,349,338",0
2014,Riau,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"1,342,817",1
2014,Sulawesi Barat,President & Vice President,"887,577","621,515","3,428",,,,
2014,Sulawesi Barat,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"165,494",0
2014,Sulawesi Barat,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"456,021",1
2014,Sulawesi Selatan,President & Vice President,"6,323,711","4,251,883","22,732",,,,
2014,Sulawesi Selatan,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"1,214,857",0
2014,Sulawesi Selatan,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"3,037,026",1
2014,Sulawesi Tengah,President & Vice President,"1,935,646","1,399,160","8,599",,,,
2014,Sulawesi Tengah,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"632,009",0
2014,Sulawesi Tengah,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"767,151",1
2014,Sulawesi Tenggara,President & Vice President,"1,798,732","1,133,351","6,327",,,,
2014,Sulawesi Tenggara,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"511,134",0
2014,Sulawesi Tenggara,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"622,217",1
2014,Sulawesi Utara,President & Vice President,"1,887,975","1,344,648","5,220",,,,
2014,Sulawesi Utara,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"620,095",0
2014,Sulawesi Utara,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"724,553",1
2014,Sumatera Barat,President & Vice President,"3,611,551","2,336,813","17,514",,,,
2014,Sumatera Barat,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"1,797,505",0
2014,Sumatera Barat,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"539,308",1
2014,Sumatera Selatan,President & Vice President,"5,865,025","4,159,212","31,419",,,,
2014,Sumatera Selatan,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"2,132,163",0
2014,Sumatera Selatan,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"2,027,049",1
2014,Sumatera Utara,President & Vice President,"9,902,948","6,326,349","29,676",,,,
